fid,datafangstdato,grensemerkenedsatti,grensepunktnummer,grensepunkttype,identifikasjon_lokalid,identifikasjon_navnerom,informasjon,kommnr,kvalitet_malemetode,kvalitet_noyaktighet,objtype,pkey,administrativgrense,cddaid,faktaark,folgerterrengdetalj,forvaltningsmyndighet,forvaltningsmyndighettype,forvaltningsplan,forvaltningsplandato,iucn,marinbeskyttelse,marineareapercentage,navn,nettverk_nettverkid,nettverk_nettverknavn,offisieltnavn,planbehov,revisjon,skjotselplan,skjotselplandato,skogvern,truetvurdering,vernedato,verneform,verneforskrift,verneplan,Areal,PosX,PosY
"27",,,,,VV00000412,NO.MILJODIREKTORATET.NATURBASE,,"1134",,,Naturvernområde,926a5582-1326-417c-8bfc-b3abc906bf27,,"156354",https://faktaark.naturbase.no/?id=VV00000412,,Suldal kommune,kommune,ingenPlan,,strictNatureReserve,,"2.93000007",Tjuvholmen/Klumpholmen,,,Tjuvholmen/Klumpholmen naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-846,verneplanSjøfugl,7527.059,326936.264407238,6580740.02486777
"28",,,,,VV00001702,NO.MILJODIREKTORATET.NATURBASE,,"1130",,,Naturvernområde,af189765-f195-48ee-ad91-707a9b2aa8fd,,"156161",https://faktaark.naturbase.no/?id=VV00001702,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"52.56000137",Kjeøy,,,Kjeøy naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,truet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-832,verneplanSjøfugl,172023.377,316232.060728295,6548951.2341761
"29",,,,,VV00001734,NO.MILJODIREKTORATET.NATURBASE,,"1101",,,Naturvernområde,47d36fbd-9392-44e4-906b-8df3519d96b2,,"156341",https://faktaark.naturbase.no/?id=VV00001734,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"80.54000092",Tedneholmen,,,Tedneholmen naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ukjent,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-844,verneplanSjøfugl,26405.098,328348.376801189,6474746.10261465
"30",,,,,VV00001237,NO.MILJODIREKTORATET.NATURBASE,,"1119",,,Naturvernområde,0e886fdd-0c77-473c-8498-0d8f7fedd676,,"156585",https://faktaark.naturbase.no/?id=VV00001237,,Statsforvalteren i Rogaland,,godkjent,"20101104000000",strictNatureReserve,,"0.00000000",Søylandsvatnet,,,Søylandsvatnet naturreservat,ingen,ikkeRevidert,godkjent,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1273,verneplanVåtmark,669039.632,303129.229193839,6510416.9682166
"31",,,,,VV00000655,NO.MILJODIREKTORATET.NATURBASE,,"1160",,,Naturvernområde,90958be1-3e40-4e42-9c52-95090eb42255,,"156517",https://faktaark.naturbase.no/?id=VV00000655,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"0.00000000",Landavatnet,,,Landavatnet naturreservat,forvaltningOgSkjøtselsplan,revidert,ingenPlan,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1297,verneplanVåtmark,293480.429,313736.940117929,6604557.47434973
"32",,,,,VV00001146,NO.MILJODIREKTORATET.NATURBASE,,"1135",,,Naturvernområde,44dd34e4-ca22-486c-a5a2-5df09bfcde2c,,"156522",https://faktaark.naturbase.no/?id=VV00001146,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"0.00000000",Lindevollsmyra,,,Lindevollsmyra naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,ja,ukjent,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1288,verneplanVåtmark,90276.267,346308.121498832,6613474.40306691
"33",,,,,VV00001110,NO.MILJODIREKTORATET.NATURBASE,,"1119",,,Naturvernområde,c7c88f32-a459-4ceb-acfc-8980402a265a,,"155425",https://faktaark.naturbase.no/?id=VV00001110,,Statsforvalteren i Rogaland,,underBehandling,,strictNatureReserve,,"0.00000000",Vigre,VM00000046,Ramsar,Vigre naturreservat,forvaltningOgSkjøtselsplan,ikkeRevidert,ingenPlan,,ja,truet,"19861212",naturreservat,https://lovdata.no/forskrift/1986-12-12-2296,verneplanMyr,22336.742,302444.701020134,6507506.66736965
"34",,,,,VV00000397,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,f47cee21-b183-48a3-8a78-ffba50736cc8,,"155182",https://faktaark.naturbase.no/?id=VV00000397,,Stavanger kommune ,kommune,ingenPlan,,habitatSpeciesManagementArea,,"86.87000275",Nordre Rennesøy,,,,forvaltningOgSkjøtselsplan,ikkeRevidert,ingenPlan,,nei,ikkeTruet,"19820507",dyrefredningsområde,https://lovdata.no/forskrift/1982-05-07-848,verneplanSjøfugl,8494869.046,306448.765535351,6560682.07402292
"35",,,,,VV00000633,NO.MILJODIREKTORATET.NATURBASE,,"1124",,,Naturvernområde,f213e899-915c-45ed-9109-a70ce540a0d8,,"156462",https://faktaark.naturbase.no/?id=VV00000633,,Statsforvalteren i Rogaland,,godkjent,"20140113000000",strictNatureReserve,,"87.87000275",Hagavågen,,,Hagavågen naturreservat,ingen,revidert,godkjent,"20140113000000",ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1292,verneplanVåtmark,346076.333,305670.570139707,6537448.39290848
"36",,,,,VV00001736,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,ac3e1aa3-cad6-4fe5-80a5-39eb87fa11fd,,"156215",https://faktaark.naturbase.no/?id=VV00001736,,Stavanger kommune,kommune,ingenPlan,,strictNatureReserve,,"60.13000107",Litle Marøy,,,Litle Marøy naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-837,verneplanSjøfugl,99825.828,315230.671989741,6540710.17358598
